Taxa,leg_length,body_size,spur_length,population_code,population_spur_length
Rediviva albifasciata,5.809,2.393,1.5,R. albifasciata,NA
Rediviva albifasciata,5.662,2.393,1.5,R. albifasciata,NA
Rediviva albifasciata,5.82,2.432,1.5,R. albifasciata,NA
Rediviva albifasciata,5.888,2.455,1.5,R. albifasciata,NA
Rediviva albifasciata,5.826,2.472,1.5,R. albifasciata,NA
Rediviva albifasciata,5.756,2.511,1.5,R. albifasciata,NA
Rediviva albifasciata,6.006,2.455,1.5,R. albifasciata,NA
Rediviva albifasciata,5.764,2.251,1.5,R. albifasciata,NA
Rediviva albifasciata,5.844,2.619,1.5,R. albifasciata,NA
Rediviva albifasciata,5.718,2.393,1.5,R. albifasciata,NA
Rediviva albifasciata,5.831,2.664,1.5,R. albifasciata,NA
Rediviva albifasciata,5.515,2.251,1.5,R. albifasciata,NA
Rediviva albifasciata,5.981,2.664,1.5,R. albifasciata,NA
Rediviva albifasciata,5.656,2.59,1.5,R. albifasciata,NA
Rediviva albifasciata,6.102,2.653,1.5,R. albifasciata,NA
Rediviva albifasciata,6.063,2.704,1.5,R. albifasciata,NA
Rediviva albifasciata,5.961,2.511,1.5,R. albifasciata,NA
Rediviva albifasciata,5.865,2.5,1.5,R. albifasciata,NA
Rediviva albifasciata,6.126,2.596,1.5,R. albifasciata,NA
Rediviva albifasciata,5.951,2.534,1.5,R. albifasciata,NA
Rediviva albifasciata,5.809,2.127,1.5,R. albifasciata,NA
Rediviva albifasciata,5.56,2.5,1.5,R. albifasciata,NA
Rediviva albifasciata,5.809,2.455,1.5,R. albifasciata,NA
Rediviva albifasciata,5.831,2.641,1.5,R. albifasciata,NA
Rediviva albifasciata,5.916,2.5,1.5,R. albifasciata,NA
Rediviva albifasciata,5.724,2.585,1.5,R. albifasciata,NA
Rediviva albifasciata,6.244,2.749,1.5,R. albifasciata,NA
Rediviva albifasciata,5.724,2.602,1.5,R. albifasciata,NA
Rediviva albifasciata,6.086,2.698,1.5,R. albifasciata,NA
Rediviva alonsoae,7.765,3.473,3.3,R. alonsoae,NA
Rediviva alonsoae,8.621,3.569,3.3,R. alonsoae,NA
Rediviva alonsoae,7.806,3.45,3.3,R. alonsoae,NA
Rediviva alonsoae,8.134,3.043,3.3,R. alonsoae,NA
Rediviva alonsoae,8.02,3.196,3.3,R. alonsoae,NA
Rediviva alonsoae,7.828,3.23,3.3,R. alonsoae,NA
Rediviva alonsoae,8.003,3.264,3.3,R. alonsoae,NA
Rediviva alonsoae,7.727,3.207,3.3,R. alonsoae,NA
Rediviva alonsoae,8.796,3.529,3.3,R. alonsoae,NA
Rediviva alonsoae,8.57,3.377,3.3,R. alonsoae,NA
Rediviva alonsoae,7.879,3.331,3.3,R. alonsoae,NA
Rediviva aurata,9.463,2.726,3.514,R. aurata,NA
Rediviva aurata,9.349,2.681,3.514,R. aurata,NA
Rediviva aurata,9.174,2.788,3.514,R. aurata,NA
Rediviva aurata,9.343,2.641,3.514,R. aurata,NA
Rediviva aurata,10.017,2.952,3.514,R. aurata,NA
Rediviva aurata,10.33,2.992,3.514,R. aurata,NA
Rediviva aurata,9.681,2.958,3.514,R. aurata,NA
Rediviva aurata,9.53,2.811,3.514,R. aurata,NA
Rediviva aurata,9.604,2.828,3.514,R. aurata,NA
Rediviva aurata,9.734,2.89,3.514,R. aurata,NA
Rediviva aurata,9.238,2.924,3.514,R. aurata,NA
Rediviva aurata,9.355,3.037,3.514,R. aurata,NA
Rediviva aurata,8.654,2.528,3.514,R. aurata,NA
Rediviva aurata,9.287,2.817,3.514,R. aurata,NA
Rediviva aurata,8.931,2.636,3.514,R. aurata,NA
Rediviva aurata,8.711,2.8,3.514,R. aurata,NA
Rediviva aurata,8.909,2.822,3.514,R. aurata,NA
Rediviva aurata,8.832,2.664,3.514,R. aurata,NA
Rediviva aurata,8.633,2.681,3.514,R. aurata,NA
Rediviva aurata,9.156,2.868,3.514,R. aurata,NA
Rediviva aurata,8.716,2.721,3.514,R. aurata,NA
Rediviva aurata,8.637,2.692,3.514,R. aurata,NA
Rediviva aurata,8.597,2.602,3.514,R. aurata,NA
Rediviva aurata,8.462,2.568,3.514,R. aurata,NA
Rediviva aurata,8.768,2.732,3.514,R. aurata,NA
Rediviva aurata,8.947,2.692,3.514,R. aurata,NA
Rediviva aurata,8.309,2.636,3.514,R. aurata,NA
Rediviva aurata,8.818,2.5,3.514,R. aurata,NA
Rediviva aurata,8.745,2.811,3.514,R. aurata,NA
Rediviva aurata,8.155,2.562,3.514,R. aurata,NA
