Bee species,Mean,Min,Max
R. albifasciata,1.5,0,3
R. alonsoae,3.3,3.3,3.3
R. aurata,3.514285714,1.6,5.5
R. autumnalis,14.6,14.6,14.6
R. brunnea,7.342857143,0,13.6
R. colorata,3.82,0,16
R. emdeorum,19.42857143,15,28
R. gigas,2,0,6
R. intermedia,8.03,2.5,18
R. intermixta,10.63333333,2,28
R. longimanus,11.54545455,2.5,22
R. macgregori,8.473684211,0,28
R. micheneri,8.228571429,1.6,22
R. neliana,7.295454545,0,14.6
R. nitida,5.230769231,2.5,15
R. pallidula,9.928571429,6.1,14.6
R. parva,5.1,1.6,18
R. peringueyi,4.2,0,18
R. rhodosoma,14.6,14.6,14.6
R. ruficornis,4.075,2,5.5
R. rufipes,6.171428571,2,18
R. rufocincta,3.575,0,9.3
R. saetigera,0,0,0
R. steineri,14.6,14.6,14.6
R. transkeiana,5,5,5
R. whiteheadi,10.15,7,14.6
